Date,Titles,Date2,Month
2.02E+13,PM thanks Australian of Year finalists ,20200125,202001
2.02E+13,Trump prepares to unveil Middle East peace plan,20200125,202001
2.02E+13,"Earthquake kills 18, injures 500 in Turkey",20200125,202001
2.02E+13,London police introduce facial recognition cameras ,20200125,202001
2.02E+13,Compensation lawsuits claim millions from Dreamworld insurers ,20200126,202001
2.02E+13,Locust plague sweeps through east Africa,20200126,202001
2.02E+13,Republicans making 'full-court press' to wrap up impeachment trial,20200125,202001
2.02E+13,Nationals 'lost the plot' if Littleproud elevated to leadership,20200125,202001
2.02E+13,Red Cross 'must regain trust' and issue apologies,20200125,202001
2.02E+13,Bushfire-stricken communities 'need cashflows' to rebuild,20200125,202001
2.02E+13,Malcolm Turnbull ‘can’t help himself’,20200125,202001
2.02E+13,'You gotta love Labor's political hypocrisy',20200125,202001
2.02E+13,SA budget surplus unlikely after fires,20200126,202001
2.02E+13,Adam Schiff is 'dangerous' for telling Americans not to respect election outcomes,20200126,202001
2.02E+13,"Scott Morrison's father, John Morrison, dies aged 84",20200126,202001
2.02E+13,PM will not pressure dept head 'one way or the other' on McKenzie,20200126,202001
2.02E+13,Questions raised over impartiality of sport rort investigation ,20200125,202001
2.02E+13,Morrison Govt 'characterised by arrogance',20200126,202001
2.02E+13,Tour Down Under cyclists describe race through fire-affected SA as 'haunting',20200125,202001
2.02E+13,Sydney experiences hottest day in two years,20200125,202001
2.02E+13,Mason Boys raise awareness of drought,20200125,202001
2.02E+13,Four possible cases of coronavirus in Australia,20200125,202001
2.02E+13,Australian of the year finalists honoured ,20200125,202001
2.02E+13,Coronavirus vaccine available in as little as six months,20200125,202001
2.02E+13,US rejects UK extradition request for diplomat's wife involved in hit and run,20200125,202001
2.02E+13,Six killed in shooting in southern Germany,20200125,202001
2.02E+13,"Good samaritan finds lost container with $27,000",20200125,202001
2.02E+13,American firefighters killed battling NSW bushfire identified ,20200125,202001
2.02E+13,Brexit deal 'the beginning of the disintegration of the UK',20200125,202001
2.02E+13,Trump the first president to attend pro-life rally,20200125,202001
2.02E+13,Australian workforce experiences record growth ,20200126,202001
2.02E+13,Optus offering grants to fire-affected communities,20200126,202001
2.02E+13,ASX 200 closes week at 7090.5 points,20200126,202001
2.02E+13,Women are dominating the jobs market by claiming massive majority of new work,20200126,202001
2.02E+13,ASX 200 opens stronger after coronavirus fears,20200125,202001
2.02E+13,Monty Python star Terry Jones dies aged 77,20200126,202001
2.02E+13,Preparations underway for superbowl,20200126,202001
2.02E+13,Ozzy Osbourne reveals he has Parkinson's disease,20200126,202001
2.02E+13,Duke of Sussex the 'Harry formerly known as Prince',20200126,202001
2.02E+13,Meghan's father says his daughter and Harry are 'cheapening the royals',20200126,202001
2.02E+13,SpaceX blows up rocket to test astronaut escape system,20200125,202001
2.02E+13,Bushfires a result of 'neglect' based on 'magical Greens policies',20200126,202001
2.02E+13,Democrats can’t match Trump’s ‘forthright appeal’,20200126,202001
2.02E+13,Air quality concerns hampered NSW hazard reduction burns,20200126,202001
2.02E+13,Eye surgeon Dr James Muecke named 2020 Australian of the Year ,20200126,202001
2.02E+13,Trump did ‘absolutely nothing wrong’: impeachment defence team,20200126,202001
2.02E+13,Four killed as security forces fire live rounds at Iraqi protesters ,20200126,202001
2.02E+13,Rise in anti-Semite behaviour suggests 'lessons haven't been learned',20200126,202001
2.02E+13,"Society is 'badly tilted in favour of women, disadvantaging men'",20200126,202001
2.02E+13,2020 Local Hero Award: youth advocate Bernie Shakeshaft,20200126,202001
2.02E+13,Bushfire season 'the summer of unprecedented stupidity',20200126,202001
2.02E+13,BREAKING: Bridget McKenzie to resign as early as Friday,20200126,202001
2.02E+13,Thousands gather to protest Australia Day,20200126,202001
2.02E+13,"More than 1,000 make the Australia Day Honours list",20200126,202001
2.02E+13,Firefighters recongised for bravery on Australia Day,20200126,202001
2.02E+13,Oz Day 10k wheelchair race steals hearts in Australia Day,20200126,202001
2.02E+13,Hundreds make a splash at Gold Coasts biggest pool party ,20200126,202001
2.02E+13,Celebrations underway for Australia Day ,20200126,202001
2.02E+13,Four killed in South Korea motel blast,20200126,202001
2.02E+13,Boy fishes up ‘dangerous’ live grenade,20200126,202001
2.02E+13,‘Life-long’ treatment required for some injured by White Island eruption,20200126,202001
2.02E+13,Trump becomes first sitting president to attend March for Life rally,20200126,202001
2.02E+13,Julian Assange removed from solitary confinement,20200126,202001
2.02E+13,"Renee Zellweger, Joaquin Phoenix Oscar favourites following SAGs",20200126,202001
2.02E+13,"Emergency workers, volunteers the 'spirit of the nation': PM",20200126,202001
2.02E+13,Turnbull “recast himself as a climate change crusader”,20200126,202001
2.02E+13,Surveys reveal tourists are scared to holiday in bushfire impacted towns,20200126,202001
2.02E+13,‘Security incidents’ trigger Red Cross social media suspension  ,20200126,202001
2.02E+13,Earthquake kills 22 in Turkey as rescuers search rubble,20200126,202001
2.02E+13,'Vampire' white dwarf star 'stealing from its neighbours',20200128,202001
2.02E+13,'A culture hasn't been fostered' to deal with fire fuel loads ,20200126,202001
2.02E+13,"Emergency warning in place for Snowy Monaro region, NSW",20200126,202001
2.02E+13,Bridget McKenzie 'is cactus' following 'sports rorts' scandal ,20200126,202001
2.02E+13,Firies honoured as heroes with new national medal,20200126,202001
2.02E+13,Australia 'has a story to be proud of': Murray ,20200126,202001
2.02E+13,Three confirmed cases of coronavirus in NSW,20200126,202001
2.02E+13,'Everyone is scared' in Wuhan over coronavirus threat ,20200128,202001
2.02E+13,‘Sports rorts’ scandal could ‘ruin’ Morrison’s National Press Club address,20200128,202001
2.02E+13,The welfare system should serve 'only those who are needy and deserving',20200128,202001
2.02E+13,Greens' push for 12 hour school-zones 'is a money raising exercise' ,20200128,202001
2.02E+13,Media does ‘anything they can to paint Trump in a bad light’,20200128,202001
2.02E+13,‘A real pandemic would look more deadly’ than the coronavirus,20200128,202001
2.02E+13,Fine line between 'panic and protection' over coronavirus fears ,20200128,202001
2.02E+13,Impacts of vaping should be left to the 'experts',20200128,202001
2.02E+13,Seeing Hillary Clinton lose to Trump again 'would be delicious' ,20200128,202001
2.02E+13,Australian media 'dishonestly portrayed' bushfire crisis ,20200128,202001
2.02E+13,McKenzie staffer claims sports grants concerns were silenced,20200129,202001
2.02E+13,McKenzie's 'shooting study' a 'complete waste of taxpayer money' ,20200129,202001
